OMoD,Companies,Cantons,Zip_codes,Cities,Streets,Group,latitude,longitude
680600004,Louis Bélet SA,JU,2943,Vendlincourt,Rue Gustave-Amweg 33,Remettantes,47.4519096,7.1487883
680000248,Manufacture Jaeger-LeCoultre,JU,2900,Porrentruy,Roche de Mars 7,Remettantes,47.4186028,7.0902712
680000218,Fimm SA,JU,2900,Porrentruy,Roche-de-Mars 16,Remettantes,47.4181571,7.0915551
680000061,CEJEF div. technique / Ecoles des métiers et Ecole supérieure technique,JU,2900,Porrentruy,Rue de la Maltière 33,Remettantes,47.4176323,7.0839886
678600020,Ceramaret SA,JU,2923,Courtemaîche,Courtemaîche,Remettantes,47.4538181,7.0461357
678400045,AluConcept SA,JU,2950,Courgenay,Armeratte 2,Remettantes,47.4064401,7.127756
678400040,Ramseyer SA (Centre de tri),JU,2950,Courgenay,Rue Pré-Genez 10,Remettantes,47.4068969,7.1349264
678400020,R. Bourgeois (Suisse) SA,JU,2950,Courgenay,Rue Sedrac 26,Remettantes,47.4097266,7.1297833
677400031,Comadur SA,JU,2926,Boncourt,Rue du Temps 8,Remettantes,47.4858093,7.0066815
677400023,Sonceboz Microtechnique Boncourt SA,JU,2926,Boncourt,Boulaies 7,Remettantes,47.4922881,6.987908
677400022,ETA SA Manufacture Horlogère Suisse ,JU,2926,Boncourt,Rue du Temps 8,Remettantes,47.4858093,7.0066815
677400002,British American Tobacco Switzerland SA,JU,2926,Boncourt,Route de France 17,Remettantes,47.5001546,7.0151429
677100007,Manufacture de boites de montres MRP SA,JU,2942,Alle,Route de Courgenay 37,Remettantes,47.4217703,7.1246388
677100003,Atokalpa SA,JU,2942,Alle,Route de Miécourt,Remettantes,47.4293059,7.1470717
677100001,Filature de laine peignée d'Ajoie SA,JU,2942,Alle,Coin du Jonc 48,Remettantes,47.4203783,7.1320074
675700079,Multietch SA,JU,2350,Saignelégier,Semailles 11,Remettantes,47.2559857,7.0038721
675700075,Soprod SA,JU,2350,Saignelégier,Chemin du Buissons 10,Remettantes,47.2543663,7.0031408
675700002,Queloz SA,JU,2350,Saignelégier,Rue de Bel-Air 14,Remettantes,47.2549344,6.9924267
675400069,Jämes Aubert Le Brassus SA,JU,2340,Le Noirmont,Ch. du Muguet 1,Remettantes,47.2264906,6.9562084
675400032,Detech SA,JU,2340,Le Noirmont,Sous la Velle,Remettantes,47.2244873,6.9651365
675400011,Les Ateliers d'Hermès Horloger SA,JU,2340,Le Noirmont,Rue St-Hubert 7,Remettantes,47.2268559,6.9575387
675400003,Joseph Baume SA,JU,2340,Le Noirmont,Sous la Velle 1,Remettantes,47.2242585,6.9630821
675400002,Sycrilor Industries SA,JU,2340,Le Noirmont,Sous la Velle 16,Remettantes,47.2241731,6.9671819
675400001,Orolux SA,JU,2340,Le Noirmont,Rue du Clos Frésard 10,Remettantes,47.2249286,6.9609772
674500004,Crealine SA,JU,2875,"Enfers, Les",Milieu du village,Remettantes,47.2909627,7.0463447
674300006,Polinox SA,JU,2345,Les Breuleux,Chemin des Barres 9,Remettantes,47.209547,7.006513
674300002,Donzé-Baume SA,JU,2345,Les Breuleux,Rue du Curé Beuret 6,Remettantes,47.2135148,7.0029528
